,state,year,married_last_year,marriage_rate_per_1000,divorced_last_year,divorce_rate_per_1000,population_over_15
300,Hawaii,2016,24116,20.646676934641402,7472.0,6.397079534567944,1168033
301,Illinois,2016,166799,16.0475201862755,71154.0,6.845636072963547,10394067
302,Indiana,2016,106228,19.926202446000065,51828.0,9.721873897383846,5331071
303,Iowa,2016,40524,16.020893104303035,18957.0,7.494523506521386,2529447
304,Kansas,2016,45431,19.66451168331094,22589.0,9.777501142706761,2310304
305,Kentucky,2016,66605,18.497843468890682,34493.0,9.579552807934036,3600690
306,Louisiana,2016,55893,14.897986654103523,35449.0,9.448745440418582,3751715
307,Maine,2016,15839,14.095047911950223,9687.0,8.62041348084234,1123728
308,Maryland,2016,84096,17.15434792630582,39865.0,8.131874049683477,4902314
309,Massachusetts,2016,89764,15.794531035415934,32846.0,5.779456869003963,5683233
310,Michigan,2016,133502,16.403832467649917,64962.0,7.982095884432246,8138464
311,Minnesota,2016,76568,17.219038092466647,29916.0,6.727676621751022,4446706
312,Mississippi,2017,39265,16.408143855105205,18727.0,7.825679612238767,2393019
313,Missouri,2017,94353,19.00904668884419,44321.0,8.929233392645314,4963584
314,Montana,2017,14473,16.842230207790273,6295.0,7.325491546883145,859328
315,Nebraska,2017,25795,16.95650601974041,12084.0,7.943493651581436,1521245
316,Nevada,2017,47432,19.520948226191457,21022.0,8.651740884023377,2429800
317,New Hampshire,2017,18963,16.725998108920532,9353.0,8.249657771066484,1133744
318,New Jersey,2017,104932,14.22334660983039,46652.0,6.323595910130441,7377448
319,New Mexico,2017,24218,14.398626369379643,14483.0,8.610756697816722,1681966
320,New York,2017,263797,16.074845037158113,92511.0,5.637289238439157,16410547
321,North Carolina,2017,148423,17.717624119642757,68227.0,8.144427351629236,8377139
322,North Dakota,2017,13520,22.28390218817371,4966.0,8.18504868834842,606716
323,Ohio,2017,168625,17.720485133025278,69909.0,7.3466057533857025,9515823
324,Oklahoma,2017,63473,20.283262002812744,33094.0,10.575430068235075,3129329
325,Oregon,2017,61434,17.979370871276906,27886.0,8.161160531894843,3416916
326,Pennsylvania,2017,171118,16.1258084084182,72091.0,6.793707581734688,10611437
327,Rhode Island,2017,11196,12.575070226533219,5615.0,6.3066290927102555,890333
328,South Carolina,2017,67134,16.333917098813703,34625.0,8.424373336110234,4110098
329,South Dakota,2017,12752,18.47360933647408,6517.0,9.441069012374653,690282
330,Tennessee,2017,109471,20.02400956870759,53623.0,9.808510611055048,5466987
331,Texas,2017,454576,20.50909361939059,180620.0,8.149027862303175,22164607
332,Vermont,2017,7989,15.166558772550978,3309.0,6.281905492348377,526751
333,Utah,2017,64217,27.58541590329275,21819.0,9.372692427144596,2327933
334,Virginia,2017,128853,18.621398284876914,56359.0,8.144811420280304,6919620
335,Washington,2017,113014,18.745681148593036,50104.0,8.31077218989776,6028802
336,West Virginia,2017,24433,16.225592380552666,15285.0,10.15054146182407,1505831
337,Wisconsin,2017,78186,16.496116494407513,32979.0,6.958092572443472,4739661
338,Wyoming,2017,10741,23.218060845542936,4036.0,8.724336055545228,462614
339,Puerto Rico,2017,19771,7.030391303095527,18594.0,6.611860598338892,2812219
340,Alabama,2017,61604,15.509082798019397,40994.0,10.320423028082708,3972124
341,Alaska,2017,14687,25.164528073004032,4922.0,8.433295239009045,583639
342,Arizona,2017,90257,15.93737705774869,49620.0,8.76178744701785,5663228
343,Arkansas,2017,53195,21.999140629490967,29908.0,12.36864927054828,2418049
344,California,2017,535884,16.741218181636988,209426.0,6.542547191010569,32009857
345,Colorado,2017,101085,22.17469274937892,41801.0,9.169751512259861,4558575
346,Delaware,2017,15165,19.135381086193124,6765.0,8.536159119557961,792511
347,District of Columbia,2017,12923,22.084520328593324,2490.0,4.25523915640311,585161
348,Connecticut,2017,43879,14.69079163007556,21393.0,7.162426339301408,2986837
349,Florida,2017,290128,16.565303190017605,141962.0,8.105538146822367,17514198
350,Georgia,2017,151813,18.1817985840011,77295.0,9.257192213778563,8349724
351,Idaho,2017,30471,22.580327229854557,14137.0,10.47612766395766,1349449
352,Hawaii,2017,21552,18.454898871401415,5952.0,5.096675857580792,1167820
353,Illinois,2017,168149,16.14786868473171,63102.0,6.059880283224642,10413077
354,Indiana,2017,103904,19.368412733001517,48373.0,9.017056409122674,5364611
355,Iowa,2017,45392,17.88592129910925,18571.0,7.317576763433157,2537862
356,Kansas,2017,48072,20.733013286776924,18266.0,7.877958493432088,2318621
357,Kentucky,2017,78635,21.76729930749345,38566.0,10.675623642052424,3612529
358,Louisiana,2017,56283,14.967314595225927,29997.0,7.977089634756358,3760394
